"","ensemble_id","PV_losses","cases_per_100k","start_date","end_date","labor_supply_level","duration","intensity","q_cases"
"663","1595",13640.3194566424,61795.8335821938,61,95,0.405335542513058,34,20.218591554556,"Q2"
"664","1596",16853.3843448944,61746.9011638595,60,102,0.118952888296917,42,37.0039786915295,"Q2"
"665","1597",12758.9204330858,61808.2420417745,73,131,0.671209526248276,58,19.0698474776,"Q3"
"666","1598",12289.2181260036,61822.3963904478,48,110,0.863860047189519,62,8.44067707424983,"Q4"
"667","1599",19266.1744379431,61697.1777104538,48,104,0.0661452068015933,56,52.2958684191108,"Q1"
"668","16",12104.083767834,61826.3224652736,61,114,0.983533519087359,53,0.872723488369957,"Q4"
"669","160",18922.7550925824,61654.6855316463,57,126,0.240349373780191,69,52.4158932091668,"Q1"
"670","1600",21942.8978433306,61570.8231844114,59,135,0.0756221495103091,76,70.2527166372165,"Q1"
"671","1601",15114.386717543,61779.4342344721,54,87,0.196996427606791,33,26.4991178889759,"Q2"
"672","1602",17507.9770322528,61690.1197580813,62,127,0.318916611140594,65,44.2704202758614,"Q1"
"673","1603",16752.11193339,61722.4367817684,65,119,0.292217811569571,54,38.2202381752431,"Q1"
"674","1604",12138.8747299672,61825.6743287364,48,96,0.94003332243301,48,2.87840052321553,"Q4"
"675","1605",15987.6960119605,61738.9606316609,63,117,0.35317945596762,54,34.9283093777485,"Q1"
"676","1606",13016.4372196459,61804.4442525557,61,97,0.483040364924818,36,18.6105468627065,"Q3"
"677","1607",15734.663145542,61741.5138186976,66,121,0.385456372750923,55,33.7998994986992,"Q1"
"678","1608",12854.3216888722,61801.570233447,57,115,0.565321583999321,58,25.2113481280394,"Q3"
"679","1609",12476.1727612138,61815.3440196126,60,105,0.660478942329064,45,15.2784475951921,"Q3"
"680","161",14916.6464114004,61744.5017078946,66,141,0.518159536411986,75,36.1380347691011,"Q1"
"681","1610",12320.104492879,61819.5857169483,53,92,0.704538111109287,39,11.5230136667378,"Q4"
"682","1611",16049.7379458844,61732.122832273,50,115,0.396911741932854,65,39.2007367743645,"Q1"
"683","1612",12170.161651376,61825.4066650195,53,109,0.937689303187653,56,3.48939902149141,"Q4"
"684","1613",14791.5018547451,61759.1413830253,59,121,0.465989101212472,62,33.1086757248268,"Q2"
"685","1614",12633.7051297235,61813.84699475,59,133,0.773165675578639,74,16.7857400071807,"Q3"
"686","1615",12275.2733796226,61821.9783399516,50,98,0.815495999995619,48,8.85619200021029,"Q4"
"687","1616",17326.007761979,61691.9421411256,56,126,0.355356542859226,70,45.1250419998541,"Q1"
"688","1617",12283.4750459808,61823.7587959602,57,133,0.920246968977153,76,6.06123035773635,"Q4"
"689","1618",12419.6984630771,61820.6242488926,69,139,0.873706685844809,70,8.84053199086338,"Q4"
"690","1619",12122.0572531808,61826.3224652736,45,111,0.971703416202217,66,1.86757453065366,"Q4"
"691","162",12586.8144353637,61807.0575593248,49,107,0.585765220923349,58,24.0256171864457,"Q3"
"692","1620",15915.9830599952,61757.7436862794,74,111,0.183283949969336,37,30.2184938511346,"Q2"
