I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
8.73494830848833e-5,1.5369975521519333e-5,-1.053192664063729,11.568537315116796,2.9601356087586748,6.744775166756887e-4,4.948063892671225,9.597803645707065e-5,blanket_1
8.559264254736571e-5,1.506074226410373e-5,-1.0509190130924662,11.56893891444335,2.9601940958305133,6.609119018478858e-4,4.94819874244487,9.404548921839584e-5,blanket_1
8.387102605524712e-5,1.4757713027826404e-5,-1.0486911225888518,11.569332462894186,2.960251404816807,6.476182729074491e-4,4.948330880015301,9.215177526068538e-5,blanket_1
8.218393179757444e-5,1.4460764042969533e-5,-1.0465080738423782,11.569718120834644,2.9603075594068082,6.345912107529471e-4,4.9484603597612535,9.029611740647555e-5,blanket_1
8.05306717702542e-5,1.4169773981137974e-5,-1.0443689664956346,11.570096045476824,2.9603625828150584,6.218254028939557e-4,4.948587234978011,8.84777539066262e-5,blanket_1
7.89105715114661e-5,1.3884623908218556e-5,-1.0422729181812973,11.57046639093999,2.9604164977908454,6.093156414080289e-4,4.948711557898721,8.66959381390375e-5,blanket_1
7.73229698418637e-5,1.3605197238200888e-5,-1.0402190641662146,11.570829308309786,2.960469326627456,5.97056820934632e-4,4.948833379715299,8.494993831305122e-5,blanket_1
7.576721860948744e-5,1.3331379687845973e-5,-1.0382065570024301,11.571184945696487,2.960521091171256,5.850439367054637e-4,4.948952750598932,8.323903717943643e-5,blanket_1
7.424268243931553e-5,1.3063059232188609e-5,-1.0362345661848238,11.571533448292078,2.9605718128305885,5.732720826105875e-4,4.949069719720194,8.156253174586228e-5,blanket_1
7.274873848737905e-5,1.2800126060860136e-5,-1.0343022778155353,11.571874958426427,2.9606215125845052,5.617364492998101e-4,4.949184335268771,7.991973299776132e-5,blanket_1
7.12847761993683e-5,1.2542472535217762e-5,-1.0324088942748277,11.572209615622313,2.9606702109913146,5.504323223187341e-4,4.9492966444728035,7.83099656244883e-5,blanket_1
6.985019707365841e-5,1.2289993146267386e-5,-1.0305536338984345,11.572537556649518,2.960717928196968,5.393550802789392e-4,4.9494066936178625,7.673256775068095e-5,blanket_1
6.844441442868233e-5,1.2042584473366528e-5,-1.0287357306611011,11.572858915577916,2.960764683943286,5.285001930617294e-4,4.949514528065552,7.518689067273021e-5,blanket_1
6.7066853174581e-5,1.1800145143694439e-5,-1.026954433866345,11.57317382382958,2.960810497576012,5.178632200549076e-4,4.949620192271762,7.367229860026959e-5,blanket_1
6.571694958906029e-5,1.1562575792476431e-5,-1.0252090078423204,11.573482410229925,2.960855388052711,5.074398084220329e-4,4.949723729804558,7.218816840259315e-5,blanket_1
6.439415109738586e-5,1.132977902394981e-5,-1.0234987316433686,11.573784801057943,2.960899373950524,4.972256914036309e-4,4.949825183361737,7.073388935991525e-5,blanket_1
6.309791605644738e-5,1.1101659373058703e-5,-1.0218228987577849,11.574081120095453,2.960942473473747,4.8721668664982235e-4,4.949924594788031,6.930886291938366e-5,blanket_1
6.182771354282464e-5,1.0878123267865545e-5,-1.020180816820948,11.574371488675503,2.9609847044612834,4.774086945838573e-4,4.950022005091986,6.791250245576216e-5,blanket_1
6.0583023144788656e-5,1.0659078992666823e-5,-1.018571807334212,11.574656025729821,2.9610260843939336,4.6779769679603016e-4,4.950117454462512,6.654423303669699e-5,blanket_1
5.93633347581718e-5,1.0444436651801131e-5,-1.0169952053893483,11.57493484783543,2.961066630401547,4.583797544674714e-4,4.950210982285108,6.520349119248522e-5,blanket_1
5.816814838604184e-5,1.023410813413751e-5,-1.01545035939824,11.575208069260354,2.961106359270037,4.491510068233109e-4,4.950302627157776,6.3889724690263e-5,blanket_1
5.699697394211547e-5,1.0028007078232382e-5,-1.013936630827994,11.575475802008508,2.9611452874482413,4.40107669614717e-4,4.9503924269066255,6.260239231253342e-5,blanket_1
5.584933105784774e-5,9.826048838143442e-6,-1.0124533939411484,11.575738155863732,2.9611834310546703,4.312460336293186e-4,4.950480418601174,6.134096363995545e-5,blanket_1
5.472474889313478e-5,9.628150449889077e-6,-1.0110000355410764,11.575995238432998,2.9612208058841003,4.2256246322952724e-4,4.950566638569345,6.010491883831501e-5,blanket_1
