"","time","S","I","R","D","labor_S","labor_I","labor_R","consumption_S","consumption_I","consumption_R","aggregate_labor_supply","aggregate_consumption","weekly_new_cases","newly_recovered","newly_dead","newly_infected_per_I","prob_infection_S","infection_growth_rate","Reff","consumption_contacts","labor_contacts","other_contacts","total_cases","aggregate_hours_deviation","aggregate_consumption_deviation","qre_times","l_SS","l_SI","l_SR","l_IS","l_II","l_IR","l_RS","l_RI","l_RR","infolag","type"
"664",164,0.570952915020094,0.0117088513678243,0.4110781601079,0.00626007056300475,7.99085501012972,4.62241178401333,7.99325794701063,158.73833636361,78.5522333860939,158.786070705227,7.90237886420136,156.82535809384,0.00219189275824785,0.00226141541123666,0.0000344377981406598,0.187199639776035,0.00383900791218608,-0.00887879159651393,0.954718162857779,2.55129287872674,4.33695692305571,3.548544,0.432639311399881,-1.13694333680643,-1.23479683365486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"665",165,0.568753173750571,0.0116127394279701,0.413339575519137,0.00629450836114541,7.99052441562252,4.64768217772243,7.99325794701063,158.731769103659,78.9816728123391,158.786070705227,7.90253829022299,156.828958102354,0.0021732792295176,0.00224285261500991,0.000034155115964618,0.18714612886974,0.00382112897091402,-0.0089323025028092,0.954445257235673,2.56513448579427,4.36048634772439,3.548544,0.434812590629398,-1.13494883058489,-1.23252962651025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"666",166,0.566572148992164,0.0115167564554028,0.415582428134147,0.00632866347711003,7.99020245027122,4.67292190382605,7.99325794701063,158.725373261891,79.4105910801468,158.786070705227,7.90270062295534,156.832629083581,0.00215470334682328,0.00222431472717093,0.0000338728131041259,0.18709289852287,0.0038030520043319,-0.00898553284967892,0.954173782466638,2.57896079870381,4.38398977376903,3.548544,0.436967293976222,-1.13291795983159,-1.23021772229307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"667",167,0.564409803081724,0.0114209148255676,0.417806742861318,0.00636253629021416,7.98988900699406,4.69812758402627,7.99325794701063,158.719146711129,79.8389307794766,158.786070705227,7.90286566375002,156.836366981822,0.00213616701737047,0.00220580413787923,0.0000335909259575518,0.187039921932376,0.00378478014681323,-0.00903850944017347,0.953903601855115,2.59276996549185,4.40746405302657,3.548544,0.439103460993592,-1.13085320974603,-1.22786367519487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"668",168,0.56226609637076,0.0113252264726946,0.420012546999197,0.00639612721617171,7.98958400099846,4.72329597140224,7.99325794701063,158.713087766965,80.266636732881,158.786070705227,7.90303323358689,156.84016812578,0.00211767212063991,0.00218732315207925,0.0000333094896255723,0.186987176437105,0.0037663165791229,-0.00909125493544448,0.953634599829233,2.60656021339741,4.43090617197081,3.548544,0.441221133114232,-1.12875681996747,-1.22546979731808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"669",169,0.560140987266294,0.0112297029354556,0.422199870151276,0.00642943670579728,7.98928733923938,4.74842393488927,7.99325794701063,158.707194581062,80.6936557317457,158.786070705227,7.90320315526961,156.844028875122,0.00209922050412191,0.00216887399831839,0.0000330285380454578,0.186934642544641,0.00374766451990403,-0.00914378882790783,0.95336667697767,2.62032983044294,4.45431322040158,3.548544,0.443320353618354,-1.12663100731839,-1.22303838126546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"670",170,0.55803443226779,0.0111343553975963,0.424368744149595,0.00646246524384274,7.98899892752994,4.77350844729413,7.99325794701063,158.701465282397,81.1199363326256,158.786070705227,7.90337525709442,156.847945693512,0.00208081398629318,0.00215045883659459,0.0000327481041105775,0.186882303643943,0.00372882722995601,-0.0091961277286058,0.95309974858411,2.6340771610659,4.47768238401894,3.548544,0.445401167604647,-1.1244779199063,-1.22057165414409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"671",171,0.555946352050593,0.0110392286740877,0.426519202986189,0.00649521334795332,7.98891724880049,4.7985440481042,7.99325794701063,158.69984273442,81.5453857407884,158.786070705227,7.9036596351764,156.854105122215,0.0020624941101902,0.00213208632234832,0.0000324683196296698,0.186833172052271,0.00370987974394066,-0.00924525932027799,0.952849177466582,2.64786502331424,4.50112044757121,3.548544,0.447463661714837,-1.12092019546467,-1.21669257977369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"672",172,0.553876641746045,0.0109443843366582,0.428651289308537,0.00652768166758299,7.98916435636971,4.82351742061378,7.99325794701063,158.704751526332,81.9697776551123,158.786070705227,7.90412227733084,156.863817487225,0.00204428919660271,0.00211376834737418,0.0000321893656960536,0.186788871234663,0.00369087454231376,-0.009289560137886,0.952623243296781,2.66172780630624,4.52468586931143,3.548544,0.44950795091144,-1.11513229054194,-1.21057594331192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"673",173,0.551825246536009,0.0108498218336238,0.430765057655912,0.00655987103327904,7.98940593728528,4.84841665508169,7.99325794701063,158.709550531268,82.3929096841156,158.786070705227,7.90457657830412,156.873376142255,0.00202613847473875,0.00209550480512146,0.0000319112406871288,0.186743939744679,0.00367170311155115,-0.00933449162786986,0.952394092697864,2.67554867864688,4.5481800469028,3.548544,0.451534089386179,-1.1094487383312,-1.20455611005598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"674",174,0.549792110784167,0.0107555415396572,0.432860562461033,0.00659178227396617,7.98964205950148,4.87324189639473,7.99325794701063,158.714241099139,82.8147842899724,158.786070705227,7.90502265879189,156.882783354373,0.0020080429157386,0.00207729576795339,0.000031633945704874,0.186698448268241,0.00365236764287966,-0.00937998310430775,0.95216208616803,2.68932771094042,4.57160310036592,3.548544,0.453542132301917,-1.10386802886423,-1.19863165225538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"675",175,0.547777177967992,0.0106615446421738,0.434937858228986,0.00662341621967104,7.98987279028169,4.89799304624713,7.99325794701063,158.718824566134,83.2353998020961,158.786070705227,7.905460632648,156.892041251161,0.00199000353778862,0.00205914146520416,0.0000313574842416877,0.186652460274544,0.00363287047695313,-0.00942597109800529,0.951927547400173,2.70306483998996,4.594954922272,3.548544,0.455532135839706,-1.09838873776755,-1.19280123000602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"676",176,0.545780390619529,0.0105678330411915,0.436996999694191,0.00665477370391273,7.99009819632197,4.92266979296712,7.99325794701063,158.723302257169,83.6547509240066,158.786070705227,7.90589060779138,156.90115183862,0.00197202139984551,0.00204104226383798,0.0000310818618858575,0.186606032869645,0.00361321409442179,-0.00947239850290412,0.951690767635189,2.71675988527154,4.6182352057474,3.548544,0.457504157239551,-1.0930095149165,-1.18706357997066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"677",177,0.543801690274072,0.0104744092609239,0.439038041958029,0.00668585556579859,7.99031834385518,4.94727163780644,7.99325794701063,158.72767548796,84.0728291800873,158.786070705227,7.90631268699672,156.910117016815,0.00195409759593922,0.00202299865137452,0.0000308070860615409,0.186559217542629,0.00359340110722049,-0.00951921382992048,0.951452009467405,2.73041256345487,4.64144346915736,3.548544,0.459458254835491,-1.08772907454399,-1.1814175055311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"678",178,0.541841017425956,0.0103812763716045,0.441061040609403,0.00671666265186013,7.99053329873803,4.97179791814943,7.99325794701063,158.73194556675,84.4896233099953,158.786070705227,7.90672696858416,156.918938593529,0.00193623324999478,0.00200501122079028,0.0000305331657988367,0.186512060818542,0.00357343425049835,-0.00956637055400771,0.951211510174561,2.74402250122259,4.66457907789763,3.548544,0.461394488085485,-1.08254618661145,-1.17586186818395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"679",179,0.539898311490726,0.0102884379202448,0.443066051830193,0.00674719581765897,7.99074312652372,4.99624782803604,7.99325794701063,158.736113795755,84.9051196174262,158.786070705227,7.90713354702151,156.927618296217,0.00191842951111996,0.00198708065714532,0.0000302601115301318,0.186464604830343,0.00355331637512061,-0.00961382654220612,0.950969484634749,2.75758924660597,4.68764126366407,3.548544,0.463312917596605,-1.07745966927526,-1.17039558001549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"680",180,0.537973510787464,0.0101958978548317,0.445053132487339,0.0067774559291891,7.99094780456402,5.02062043634468,7.99325794701063,158.740179725066,85.3193022791072,158.786070705227,7.90753246617393,156.936156843527,0.00190068753249392,0.001969207722943,0.0000299879348671523,0.186416886433714,0.00353305040932548,-0.00966154493883552,0.950726120811939,2.77111224852571,4.7106290896739,3.548544,0.465213605129099,-1.07246897375847,-1.16501818843769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"681",181,0.536066552481086,0.0101036605033992,0.447022340210282,0.00680744386405625,7.99114750785576,5.04491470669128,7.99325794701063,158.744146830996,85.732153682959,158.786070705227,7.9079238737462,156.944557012727,0.00188300852087602,0.00195139325408788,0.0000297166485394094,0.186368942250437,0.00351263945150254,-0.0097094891221126,0.950481605477226,2.78459096663205,4.73354163738358,3.548544,0.467096613649975,-1.06757225219384,-1.15972794438699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"682",182,0.534177372575469,0.0100117305063896,0.44897373346437,0.00683716051259566,7.99134230612021,5.06912950291039,7.99325794701063,158.748016498558,86.1436545212397,158.786070705227,7.90830785793271,156.952820395332,0.00186539367789433,0.0019336381468223,0.0000294462661952635,0.18632080405119,0.00349208666196505,-0.0097576273213597,0.950236100661066,2.79802476991828,4.75637783414131,3.548544,0.46896200732787,-1.06276840122169,-1.15452384556169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
"683",183,0.532305905896547,0.00992011277229349,0.450907371611192,0.00686660677879092,7.99153226281338,5.09326360682122,7.99325794701063,158.751789988306,86.5537840924571,158.786070705227,7.90868450151388,156.960948471652,0.0018478442141583,0.00191594334915865,0.0000291768022714515,0.186272500784393,0.00347139528922948,-0.00980593058815659,0.949989754000401,2.81141298046908,4.77913652755507,3.548544,0.470809851542028,-1.05805638521407,-1.14940495969501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"plan"
