I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
2.1510282115911667e-4,1.0127433578127874e-4,-0.5740619396756408,14.992541296796087,7.944453639276262,0.0016609373235175284,0.0011986983942427556,2.0078588769229888e-4,blanket_1
2.740775665829187e-4,1.2887151037151205e-4,-0.7326644108088476,14.97439667200312,7.9310549757681,0.002116316547703874,0.0015307732471123035,2.561698137926868e-4,blanket_1
3.490097548339843e-4,1.6383067153501166e-4,-0.9343530665667288,14.951317432503949,7.914015999200853,0.0026949127164064674,0.001953893070029647,3.2674888820497254e-4,blanket_1
4.4408581975669307e-4,2.0801797927869935e-4,-1.1905383173878792,14.921993390383506,7.892372391590482,0.003429051785125757,0.002492692897767845,4.166405877268459e-4,blanket_1
5.64509466734687e-4,2.637125276290339e-4,-1.5154700781143782,14.884786222175482,7.864919691936586,0.004358914670346707,0.003178270764494519,5.310456549858339e-4,blanket_1
7.166989234645247e-4,3.3366049610755315e-4,-1.9268316984748735,14.837659504289093,7.830162950201979,0.005534060340544198,0.0040497581634009235,6.765125089941596e-4,blanket_1
9.084909142435436e-4,4.211117362561876e-4,-2.4463872177113877,14.778101520681808,7.78626177018859,0.007015000823456538,0.005156195021266182,8.612529040358525e-4,blanket_1
0.0011493284046461348,5.298186843648205e-4,-3.1006369964634684,14.703045439344878,7.73097447513345,0.008874650894837247,0.006558719567690336,0.001095509693193925,blanket_1
0.0014503923296155324,6.639671723475091e-4,-3.9213968286650247,14.608795840102282,7.661608469695361,0.011199345229710009,0.008333048043788437,0.0013919699550271195,blanket_1
0.0018246140112257304,8.279965462672812e-4,-4.946156605963992,14.490977163999208,7.574988806963383,0.014088934287324972,0.01057215777217233,0.00176620273190424,blanket_1
0.0022864752286503795,0.001026255266042038,-6.217993837406155,14.344528853721744,7.467463719197741,0.017655240532009262,0.013388989397422358,0.002237076416532955,blanket_1
0.002851470901957317,0.0012624342507011853,-7.7847181109673596,14.16378359442722,7.334974156333514,0.022017909493906522,0.016918840475397212,0.0028270710923322287,blanket_1
0.003535085779524946,0.0015387353195218882,-9.696821502434105,13.942677587638247,7.173222804384276,0.027296508161483695,0.021320929555990104,0.003562339218900061,blanket_1
0.004351142381109577,0.0018547831682777282,-12.00374746506131,13.675151015475336,6.977983239949599,0.033597768463482704,0.02677838048011633,0.004472277559140139,blanket_1
0.005309445536393497,0.0022063938526696186,-14.748041993215688,13.355794558370704,6.745585550474844,0.040997399344558594,0.03349565623798557,0.005588253319607412,blanket_1
0.006412817309475146,0.0025844740167355125,-17.957226491800647,12.98077118385386,6.473591720788032,0.04951719164675549,0.041692356475647806,0.006940996080979212,blanket_1
0.007653905764106092,0.002974506302705533,-21.633848986409575,12.548976502350252,6.1616226954683215,0.05910037668032863,0.051592437530130965,0.008556088457244513,blanket_1
0.009012522529867282,0.003357175012695463,-25.74516905013259,12.063287628383232,5.812216151685825,0.0695910679823552,0.06340850584944317,0.010447116505112479,blanket_1
0.01045457068655074,0.0037105444640210795,-30.215132356302266,11.53160510025602,5.431494868548207,0.08072598287180026,0.07732200115816018,0.012606652324439886,blanket_1
0.011933613037108718,0.004013701864788539,-34.92216078526829,10.96727244291959,5.029354475601268,0.09214655202133697,0.09346172449531964,0.014996652631526514,blanket_1
0.013395563195714374,0.004251009551088305,-39.705994219006435,10.388462438375033,4.618904654766152,0.10343514214936662,0.11188478734566032,0.01754202564956286,blanket_1
0.014785876969062493,0.0044154890307322205,-44.38469166327438,9.816341310292866,4.215074553644387,0.11417058496918542,0.1325648028533651,0.020132881785676737,blanket_1
0.016057438692517557,0.004509923340633501,-48.77917569602338,9.27225444149107,3.8325995713597085,0.12398907230550113,0.1553911790607539,0.022639768819163696,blanket_1
0.01717681047180027,0.004545197813020112,-52.73902160415436,8.77464012647935,3.4839072959966546,0.13263241021894545,0.18018058704036916,0.024940035972639316,blanket_1
0.018127096434424374,0.004536691447976502,-56.1618890111506,8.336583986208073,3.1775243072058745,0.13997013559120372,0.20669807658074021,0.02694513696916605,blanket_1
0.018907078392003143,0.004500309069588453,-59.00130634849634,7.9646980693682785,2.9174341385997424,0.1459928420664624,0.23468261369176574,0.028615884092809858,blanket_1
0.019527647413102207,0.0044495522506711885,-61.262257183537685,7.659459103091256,2.7034294289554524,0.15078462609140159,0.2638712837491103,0.029959756042553104,blanket_1
0.02000716975326201,0.004394187915172537,-62.98834577597305,7.416604964107327,2.532149690215717,0.15448730445671377,0.2940179857154108,0.03101532510863677,blanket_1
0.020367200372926074,0.0043402677272362114,-64.24604654441173,7.228948183124485,2.398357015264525,0.15726731590376627,0.3249049723032619,0.03183401761583216,blanket_1
0.020629306041117346,0.004290891989661766,-65.11057468384575,7.0880534173045575,2.296081496047342,0.15929119025544192,0.3563477726847638,0.03246663032441248,blanket_1
0.02081314166137234,0.004247167297200489,-65.65568605550807,6.985480705349364,2.219449202560305,0.16071069479474537,0.3881952107215596,0.03295650037262536,blanket_1
0.02093555984465728,0.004209037079223765,-65.94770178485841,6.913538277353785,2.1631686275845294,0.16165595863690244,0.4203264534347394,0.03333769871387404,blanket_1
0.021010418728536946,0.0041758749476936636,-66.04292143612969,6.865631014619435,2.1227430462186656,0.16223398873853478,0.4526466848370672,0.033635853065033514,blanket_1
0.0210487854485233,0.004146853051219462,-65.9872712608994,6.836335658855839,2.0945019100041957,0.16253024106223102,0.4850824830772281,0.03386985787338659,blanket_1
0.02105931803662121,0.004121142901333924,-65.81718058303456,6.821321185109305,2.0755325839535996,0.1626115694247267,0.5175775117023085,0.03405357971950001,blanket_1
0.021048692659594956,0.004098008385639981,-65.56097997221735,6.817199349866614,2.0635694881257787,0.16252952449292862,0.5500888004936858,0.03419724121833741,blanket_1
0.021022005983689647,0.004076836847824565,-65.2403981702991,6.821357496245197,2.056874850647735,0.16232346073570503,0.5825836858715994,0.034308446924705444,blanket_1
