rhoc,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,total_economic_savings,cases_per_100k_ratio,cases_per_100k_difference,productivity_loss,asymptomatic_prop,c_l_contact_ratio,avoid_unavoid_contact_ratio,economic_loss_ratio_ADJUSTED
1,0.2,4246.1760474223875,1108.9544067695426,59324.13916454844,59323.308938145005,0.7388345668233125,1038428679830.6611,1.0000139949442857,0.8302264034355176,80,-10.147322043232823,0.13310171859608033,2.3990264739566425,0.901162758636427
1,0.3,4344.011050628914,1151.4512635577098,62558.34997999927,62563.105355053805,0.7349336246759763,1056745752996.5641,0.9999239907445843,-4.755375054533943,70,3.621093212171278,0.13310171859608033,2.3990264739566425,0.896404746566297
1,0.4,4380.6173775457655,1169.6972508191125,64702.80364345987,64701.56626158596,0.7329834701348801,1062823074095.7781,1.0000191244500776,1.2373818739069975,60,17.38950846757539,0.13310171859608033,2.3990264739566425,0.8940261266086822
1,0.5,4386.613185495036,1174.4093411366161,66300.55868843062,66295.85246989013,0.7322742417726804,1063247988035.0284,1.0000709881291991,4.706218540493865,50,31.157923722979486,0.13310171859608033,2.3990264739566425,0.8931610747877704
1,0.6,4374.218417895321,1170.8972975422034,67574.52058089945,67547.45008173193,0.7323185114049273,1060307782841.172,1.0004007627102838,27.070499167515663,40,44.92633897838359,0.13310171859608033,2.3990264739566425,0.8932150708319606
1,0.7,4349.478535359077,1161.4368388690352,68636.33307713686,68625.39422421755,0.7329710149326782,1055250253036.7411,1.00015939949115,10.938852919309284,30.000000000000004,58.69475423378769,0.13310171859608033,2.3990264739566425,0.8940109348934058
1,0.8,4315.808639859191,1145.5120489868932,69549.25581269337,69541.63514942778,0.7345776551797563,1049376576034.993,1.000109584182903,7.620663265595795,19.999999999999996,72.4631694891918,0.13310171859608033,2.3990264739566425,0.895970567566547
1,0.9,4275.322117415119,1126.1816439549307,70352.31146862007,70348.41197474232,0.7365855453633454,1042373845086.7173,1.0000554311571261,3.8994938777468633,9.999999999999998,86.2315847445959,0.13310171859608033,2.3990264739566425,0.8984196081747335
2,0.1,3714.5546815794823,890.17136319758,48421.3731670074,48421.03316774673,0.7603558327968761,934878365824.5868,1.000007021726684,0.3399992606646265,90,-23.915737298636927,0.26620343719216066,2.680832194838221,0.9274124284339188
2,0.2,4084.1569473364866,1037.4646652291772,55870.04721992168,55841.80939484736,0.7459782572984206,1008463222158.7593,1.0005056753242836,28.237825074320426,80,-10.147322043232823,0.26620343719216066,2.680832194838221,0.9098759782182778
2,0.3,4227.306845593668,1090.0272332728484,59783.14144841933,59781.526630754764,0.7421461764931878,1038447868606.4437,1.0000270119843968,1.614817664565635,70,3.621093212171278,0.26620343719216066,2.680832194838221,0.9052019569084613
2,0.4,4294.187729482037,1117.1960541281358,62446.86075169239,62449.75158386181,0.7398353019226546,1051592666747.0726,0.9999537094688753,-2.8908321694252663,60,17.38950846757539,0.26620343719216066,2.680832194838221,0.9023833636856261
2,0.5,4322.8957505290155,1131.0942060620937,64480.93774113871,64474.96216217991,0.7383480261064181,1056494772684.4454,1.0000926806121075,5.975578958801634,50,31.157923722979486,0.26620343719216066,2.680832194838221,0.9005693208164958
2,0.6,4328.490287096792,1133.5588365534677,66137.879242448,66138.43319718336,0.738116811782482,1057530779893.1156,0.9999916243142062,-0.5539547353546368,40,44.92633897838359,0.26620343719216066,2.680832194838221,0.9002873067536042
2,0.7,4318.400088996953,1132.9556892358717,67543.92175214787,67530.77532723248,0.737644575331827,1054390540934.0217,1.0001946730931444,13.146424915394164,30.000000000000004,58.69475423378769,0.26620343719216066,2.680832194838221,0.8997113159679665
2,0.8,4296.828454887617,1127.7482062087047,68770.71294394566,68754.28786121338,0.737539392589458,1048973963544.4594,1.000238895394647,16.425082732283045,19.999999999999996,72.4631694891918,0.26620343719216066,2.680832194838221,0.8995830236891119
2,0.9,4266.3895893862245,1109.487138244331,69862.64020383231,69854.99316246792,0.7399470641395538,1044943080276.3649,1.000109470218494,7.647041364398319,9.999999999999998,86.2315847445959,0.26620343719216066,2.680832194838221,0.9025196810051112
3,0.1,3431.5684121711733,786.3542807454467,43728.79273768638,43728.62526575649,0.770846975407401,875572889964.578,1.0000038298009342,0.1674719298898708,90,-23.915737298636927,0.39930515578824105,2.9626379157197995,0.9402085636456187
3,0.2,3911.3923191752615,958.0601945075451,52472.69878620009,52466.46050959239,0.7550590387441479,977560762548.4767,1.0001189002754733,6.2382766076989355,80,-10.147322043232823,0.39930515578824105,2.9626379157197995,0.9209518840105458
3,0.3,4106.409108756386,1029.8860884674104,57114.17906794752,57114.48743520382,0.7492003204767612,1018337275578.1776,0.9999946008925206,-0.30836725629342254,70,3.621093212171278,0.39930515578824105,2.9626379157197995,0.9138059558786066
3,0.4,4206.852353974669,1068.8759279625287,60318.749322057316,60321.579884928775,0.7459202657890653,1038678515785.5239,0.9999530754519882,-2.830562871458824,60,17.38950846757539,0.39930515578824105,2.9626379157197995,0.9098052454847341
3,0.5,4259.973579923356,1094.4191439299666,62795.21202830306,62784.771811886385,0.7430925043554714,1047806910198.6217,1.0001662858065004,10.440216416674957,50,31.157923722979486,0.39930515578824105,2.9626379157197995,0.9063562009912965
3,0.6,4284.306651043722,1101.5296448788888,64830.32620722051,64832.202824843356,0.7428919695534539,1053507626582.4032,0.9999710542363042,-1.8766176228455151,40,44.92633897838359,0.39930515578824105,2.9626379157197995,0.9061116070002957
3,0.7,4288.98873930709,1107.591271629127,66567.37357491824,66560.28351200414,0.7417593425978394,1053050995686.0928,1.0001065209241908,7.090062914096052,30.000000000000004,58.69475423378769,0.39930515578824105,2.9626379157197995,0.904730132340527
3,0.8,4279.210763211484,1118.339792778349,68087.99774407441,68061.98619377047,0.7386574640368844,1046256670682.3103,1.000382174423031,26.011550303941476,19.999999999999996,72.4631694891918,0.39930515578824105,2.9626379157197995,0.9009467448726612
3,0.9,4258.224156872146,1092.3766816054756,69443.15036242033,69441.82554807741,0.7434666092336777,1047903906974.9247,1.0000190780460114,1.324814342922764,9.999999999999998,86.2315847445959,0.39930515578824105,2.9626379157197995,0.90681249986956
4,0.1,3118.0824390856264,680.9402718551753,38929.71801284206,38929.52437311024,0.7816156932480399,806700518217.1648,1.0000049741098804,0.19363973182043992,90,-23.915737298636927,0.5324068743843213,3.244443636601378,0.953343259708869
