"","time","S","I","R","D","labor_S","labor_I","labor_R","consumption_S","consumption_I","consumption_R","aggregate_labor_supply","aggregate_consumption","weekly_new_cases","newly_recovered","newly_dead","newly_infected_per_I","prob_infection_S","infection_growth_rate","Reff","consumption_contacts","labor_contacts","other_contacts","total_cases","aggregate_hours_deviation","aggregate_consumption_deviation","qre_times","l_SS","l_SI","l_SR","l_IS","l_II","l_IR","l_RS","l_RI","l_RR","infolag","type"
"130",130,0.657008094180235,0.0149963001908663,0.323075671544465,0.00491993114325701,3.89164293998762,7.72159712350547,7.99325794701061,77.3074877759289,131.219096804995,158.786070705226,5.25506347870684,104.059362600985,0.00283287589677503,0.00289634425254968,0.000044106765267254,0.188904987278157,0.00431178233855655,-0.00717344409439209,0.9634154351186,2.07557561454381,3.528282505658,3.548544,0.347557775811096,-34.2538404669846,-34.4632242981609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"131",131,0.65416360961115,0.0149003337421341,0.325972015797015,0.00496403790852427,3.91768863459361,7.72159712437531,7.99325794701061,77.824885504451,131.219096819777,158.786070705226,5.28344211848639,104.625231903392,0.00281404549119897,0.00287780955607885,0.0000438245110062769,0.188857883313151,0.00430174569458503,-0.00722054805939844,0.963175204897068,2.08946687084294,3.55189632933101,3.548544,0.350371821302295,-33.8987949787928,-34.1068387829946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"132",132,0.651338064199758,0.0148042450864413,0.328849825353094,0.00500786241953055,3.94376942200834,7.72159712376081,7.99325794701061,78.3429803516254,131.219096809334,158.786070705226,5.31162103713669,105.187136454972,0.00279519840490423,0.00285925125689111,0.0000435418973130626,0.188810600512434,0.00429147098648141,-0.00726783086011497,0.962934062613414,2.10337684320051,3.57554196853562,3.548544,0.353167019707199,-33.5462482039427,-33.7529502751058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"133",133,0.648531474899458,0.0147080412325371,0.331709076609985,0.00505140431684361,3.96988342159046,7.72159712260936,7.99325794701061,78.8617349585119,131.219096789766,158.786070705226,5.33960013215166,105.745074064012,0.00277633607908306,0.00284067070863706,0.0000432589448015797,0.188763142228706,0.00428095811311776,-0.00731528914384343,0.962692025366399,2.11730452884376,3.59921771865288,3.548544,0.355943355786282,-33.1962014248891,-33.4015601548384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"134",134,0.645743857202496,0.0146117292760607,0.334549747318622,0.00509466326164519,3.99602872857325,7.7215971211972,7.99325794701061,79.3811114869187,131.219096765768,158.786070705227,5.36737931781959,106.299042870525,0.0027574599698149,0.00282206928174899,0.0000429756743413551,0.18871551188213,0.00427020704735903,-0.00736291949041938,0.962449110598861,2.13124891195443,3.62292185288763,3.548544,0.358700815756097,-32.8486557139722,-33.0526695936166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"135",135,0.642975225124782,0.0145153163976843,0.337371816600371,0.00513763893598654,4.0222034145759,7.72159711947813,7.99325794701061,79.9010716295609,131.219096736555,158.786070705226,5.3949585254076,106.849041349935,0.00273857154773615,0.00280344836308216,0.0000426921070520126,0.188667712966495,0.00425921783721088,-0.00741071840605438,0.962205336129123,2.14520896403226,3.64665262288665,3.548544,0.361439387303833,-32.5036119311097,-32.7062795516207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"136",136,0.640225591190964,0.0144188098613679,0.340175264963453,0.00518033104303856,4.04840552810824,7.72159711790054,7.99325794701061,80.4215766200859,131.219096709746,158.786070705226,5.42233770332852,107.395068316398,0.00271967229781784,0.00278480935557792,0.0000424082642981409,0.188619749061579,0.00424799060712121,-0.00745868231096979,0.961960720214054,2.15918364438983,3.67040825957956,3.548544,0.364159059601651,-32.1610707217094,-32.3623907756969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"137",137,0.637494966420098,0.0143222170123577,0.342960074319031,0.0052227393073367,4.0746330950449,7.72159711667823,7.99325794701061,80.9425872424929,131.219096688974,158.786070705227,5.44951681724488,107.937122924945,0.00270076371873148,0.00276615367787693,0.0000421241676834051,0.188571623820611,0.00423652555862178,-0.00750680755193774,0.961715281485118,2.1731719002046,3.69418697326751,3.548544,0.366859823320383,-31.8210325153677,-32.0210037980088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"138",138,0.63478336031178,0.0142255452751154,0.345726227996908,0.0052648634750201,4.10088411916945,7.72159711579799,7.99325794701061,81.4640638419417,131.219096674016,158.786070705227,5.47649585020887,108.475204674305,0.00268184732238712,0.00274748276391936,0.0000418398390444572,0.188523340970166,0.00422482297121006,-0.00755509040238327,0.961469038947845,2.18717266680921,3.71798695411653,3.548544,0.36954167064277,-31.483497524119,-31.6821189342576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"139",139,0.632090780832705,0.0141288021512263,0.348473710760827,0.00530670331406456,4.12715658273702,7.72159711524679,7.99325794701061,81.9859663359306,131.219096664649,158.786070705227,5.50327480279715,109.009313409621,0.00266292463351319,0.00272879806254077,0.0000415553004447834,0.188474904313248,0.004212883203272,-0.00760352705930155,0.961222011997562,2.20118486805424,3.74180637277427,3.548544,0.372204595276283,-31.1484657407485,-31.3457362819729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
