"","compliance","type","measure","values"
"236",0.16,"coordinated","casesp100k",61714
"237",0.17,"coordinated","losses",8890
"238",0.17,"coordinated","casesp100k",61716
"239",0.18,"coordinated","losses",8780
"240",0.18,"coordinated","casesp100k",61717
"241",0.19,"coordinated","losses",8670
"242",0.19,"coordinated","casesp100k",61718
"243",0.2,"coordinated","losses",8558
"244",0.2,"coordinated","casesp100k",61720
"245",0.21,"coordinated","losses",8448
"246",0.21,"coordinated","casesp100k",61721
"247",0.22,"coordinated","losses",8338
"248",0.22,"coordinated","casesp100k",61722
"249",0.23,"coordinated","losses",8227
"250",0.23,"coordinated","casesp100k",61723
"251",0.24,"coordinated","losses",8116
"252",0.24,"coordinated","casesp100k",61724
"253",0.25,"coordinated","losses",8006
"254",0.25,"coordinated","casesp100k",61724
"255",0.26,"coordinated","losses",7896
"256",0.26,"coordinated","casesp100k",61725
"257",0.27,"coordinated","losses",7787
"258",0.27,"coordinated","casesp100k",61726
"259",0.28,"coordinated","losses",7677
"260",0.28,"coordinated","casesp100k",61726
"261",0.29,"coordinated","losses",7568
"262",0.29,"coordinated","casesp100k",61727
"263",0.3,"coordinated","losses",7459
"264",0.3,"coordinated","casesp100k",61727
"265",0.31,"coordinated","losses",7351
"266",0.31,"coordinated","casesp100k",61727
"267",0.32,"coordinated","losses",7244
"268",0.32,"coordinated","casesp100k",61727
"269",0.33,"coordinated","losses",7137
"270",0.33,"coordinated","casesp100k",61727
"271",0.34,"coordinated","losses",7030
"272",0.34,"coordinated","casesp100k",61727
"273",0.35,"coordinated","losses",6925
"274",0.35,"coordinated","casesp100k",61727
"275",0.36,"coordinated","losses",6820
"276",0.36,"coordinated","casesp100k",61727
"277",0.37,"coordinated","losses",6716
"278",0.37,"coordinated","casesp100k",61726
"279",0.38,"coordinated","losses",6613
"280",0.38,"coordinated","casesp100k",61726
"281",0.39,"coordinated","losses",6511
"282",0.39,"coordinated","casesp100k",61725
"283",0.4,"coordinated","losses",6410
"284",0.4,"coordinated","casesp100k",61724
"285",0.41,"coordinated","losses",6310
"286",0.41,"coordinated","casesp100k",61724
"287",0.42,"coordinated","losses",6211
"288",0.42,"coordinated","casesp100k",61723
"289",0.43,"coordinated","losses",6113
"290",0.43,"coordinated","casesp100k",61722
"291",0.44,"coordinated","losses",6016
"292",0.44,"coordinated","casesp100k",61720
"293",0.45,"coordinated","losses",5920
"294",0.45,"coordinated","casesp100k",61719
"295",0.46,"coordinated","losses",5826
"296",0.46,"coordinated","casesp100k",61718
"297",0.47,"coordinated","losses",5733
"298",0.47,"coordinated","casesp100k",61716
"299",0.48,"coordinated","losses",5640
"300",0.48,"coordinated","casesp100k",61715
"301",0.49,"coordinated","losses",5549
"302",0.49,"coordinated","casesp100k",61713
"303",0.5,"coordinated","losses",5459
"304",0.5,"coordinated","casesp100k",61712
"305",0.51,"coordinated","losses",5371
"306",0.51,"coordinated","casesp100k",61710
"307",0.52,"coordinated","losses",5283
"308",0.52,"coordinated","casesp100k",61708
"309",0.53,"coordinated","losses",5197
"310",0.53,"coordinated","casesp100k",61706
"311",0.54,"coordinated","losses",5111
"312",0.54,"coordinated","casesp100k",61703
"313",0.55,"coordinated","losses",5027
"314",0.55,"coordinated","casesp100k",61701
"315",0.56,"coordinated","losses",4943
"316",0.56,"coordinated","casesp100k",61699
"317",0.57,"coordinated","losses",4860
"318",0.57,"coordinated","casesp100k",61696
"319",0.58,"coordinated","losses",4779
"320",0.58,"coordinated","casesp100k",61694
"321",0.59,"coordinated","losses",4698
"322",0.59,"coordinated","casesp100k",61691
"323",0.6,"coordinated","losses",4617
"324",0.6,"coordinated","casesp100k",61688
"325",0.61,"coordinated","losses",4538
"326",0.61,"coordinated","casesp100k",61685
"327",0.62,"coordinated","losses",4459
"328",0.62,"coordinated","casesp100k",61682
"329",0.63,"coordinated","losses",4381
"330",0.63,"coordinated","casesp100k",61679
"331",0.64,"coordinated","losses",4303
"332",0.64,"coordinated","casesp100k",61676
"333",0.65,"coordinated","losses",4226
"334",0.65,"coordinated","casesp100k",61673
"335",0.66,"coordinated","losses",4149
"336",0.66,"coordinated","casesp100k",61669
"337",0.67,"coordinated","losses",4073
"338",0.67,"coordinated","casesp100k",61666
"339",0.68,"coordinated","losses",3997
"340",0.68,"coordinated","casesp100k",61662
"341",0.69,"coordinated","losses",3921
"342",0.69,"coordinated","casesp100k",61659
"343",0.7,"coordinated","losses",3845
"344",0.7,"coordinated","casesp100k",61655
"345",0.71,"coordinated","losses",3769
"346",0.71,"coordinated","casesp100k",61651
"347",0.72,"coordinated","losses",3694
"348",0.72,"coordinated","casesp100k",61647
"349",0.73,"coordinated","losses",3618
"350",0.73,"coordinated","casesp100k",61643
"351",0.74,"coordinated","losses",3543
"352",0.74,"coordinated","casesp100k",61639
"353",0.75,"coordinated","losses",3467
"354",0.75,"coordinated","casesp100k",61635
"355",0.76,"coordinated","losses",3392
"356",0.76,"coordinated","casesp100k",61630
"357",0.77,"coordinated","losses",3316
"358",0.77,"coordinated","casesp100k",61626
"359",0.78,"coordinated","losses",3239
"360",0.78,"coordinated","casesp100k",61622
"361",0.79,"coordinated","losses",3163
"362",0.79,"coordinated","casesp100k",61617
"363",0.8,"coordinated","losses",3087
"364",0.8,"coordinated","casesp100k",61612
"365",0.81,"coordinated","losses",3010
"366",0.81,"coordinated","casesp100k",61608
"367",0.82,"coordinated","losses",2932
"368",0.82,"coordinated","casesp100k",61603
"369",0.83,"coordinated","losses",2854
"370",0.83,"coordinated","casesp100k",61598
"371",0.84,"coordinated","losses",2776
"372",0.84,"coordinated","casesp100k",61593
"373",0.85,"coordinated","losses",2698
"374",0.85,"coordinated","casesp100k",61588
"375",0.86,"coordinated","losses",2618
"376",0.86,"coordinated","casesp100k",61583
"377",0.87,"coordinated","losses",2539
"378",0.87,"coordinated","casesp100k",61578
"379",0.88,"coordinated","losses",2459
"380",0.88,"coordinated","casesp100k",61573
"381",0.89,"coordinated","losses",2378
"382",0.89,"coordinated","casesp100k",61567
"383",0.9,"coordinated","losses",2297
"384",0.9,"coordinated","casesp100k",61562
"385",0.91,"coordinated","losses",2215
"386",0.91,"coordinated","casesp100k",61556
"387",0.92,"coordinated","losses",2132
"388",0.92,"coordinated","casesp100k",61551
"389",0.93,"coordinated","losses",2049
"390",0.93,"coordinated","casesp100k",61545
"391",0.94,"coordinated","losses",1965
"392",0.94,"coordinated","casesp100k",61539
"393",0.95,"coordinated","losses",1881
"394",0.95,"coordinated","casesp100k",61534
"395",0.96,"coordinated","losses",1796
"396",0.96,"coordinated","casesp100k",61528
"397",0.97,"coordinated","losses",1711
"398",0.97,"coordinated","casesp100k",61522
"399",0.98,"coordinated","losses",1625
"400",0.98,"coordinated","casesp100k",61516
"401",0.99,"coordinated","losses",1538
"402",0.99,"coordinated","casesp100k",61510
"403",1,"coordinated","losses",1450
"404",1,"coordinated","casesp100k",61504
