rhoc,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,cases_per_100k_ratio,productivity_loss,economic_loss_ratio_ADJUSTED
4,0.6,5489.732726747171,1086.6201433812066,62391.44250169414,62392.24539845111,0.8020631973416561,0.9999871314655877,40,0.9247815724906794
4,0.7,5529.650517504421,1102.8634012477407,64324.268738021216,64324.433835381664,0.8005545924183519,0.9999974333647325,30.000000000000004,0.9230421459244631
4,0.8,5552.254784587581,1115.4744221889935,66079.46792100722,66075.53423760639,0.7990952386973628,1.000059533130473,19.999999999999996,0.921359506160677
4,0.9,5560.466582737078,1123.6805571180776,67684.95032251265,67678.86451739763,0.7979161387991008,1.0000899217969808,9.999999999999998,0.92
5,0.1,4666.84759177233,836.5629842852239,46202.43657103174,46201.89686944282,0.8207434530838145,1.000011681372963,90,0.9463199703837851
5,0.2,5065.407146262421,954.1530159156085,52149.812702920164,52149.509046003564,0.811633499861972,1.000005822814484,80,0.9358161635843525
5,0.3,5282.965660686933,1022.9821819155826,56122.79419944797,56121.86011483944,0.8063621367959892,1.0000166438640241,70,0.9297382641850458
5,0.4,5425.166596596171,1065.760401901826,59290.04001879707,59298.82009244011,0.8035525024115389,0.9998519351037787,60,0.9264987462607879
5,0.5,5522.60479208544,1103.477263860772,61988.67599802429,61993.1614448498,0.8001889859216093,0.9999276461028771,50,0.9226206004002562
5,0.6,7172.712257819362,1104.8666303802206,62314.61713982358,62299.6934290046,0.8459625047448759,1.000239547098831,40,0.9753976220316085
5,0.7,7258.887099620644,NA,64529.19457744738,NA,NA,NA,30.000000000000004,NA
5,0.8,5652.45788775836,1171.1863707390191,68375.73824009411,68361.39805500743,0.7928005136888361,1.0002097702138149,19.999999999999996,0.9141016669890561
5,0.9,5658.591496572421,1174.517420386756,70099.87596058505,70094.69257655031,0.7924364356221515,1.0000739483096965,9.999999999999998,0.9136818837498627
6,0.1,4702.854096731614,847.5002985348632,46672.08966679822,46671.588713307305,0.8197902207674573,1.0000107335855652,90,0.9452208903070638
6,0.2,5121.401137880515,973.9619519404648,52980.46373739688,52978.76066538193,0.8098250994758951,1.0000321463166288,80,0.9337310718381262
